"size","module","category","file","coqc_status","coqc_ms","coqc_log"
"240","V59_N240_EQ_046","eq","generated_coq/n240/V59_N240_EQ_046.v","kernel_success","583.6","logs/V59_N240_EQ_046.coqc.log"
"240","V59_N240_SECTION_047","section","generated_coq/n240/V59_N240_SECTION_047.v","kernel_success","517.8","logs/V59_N240_SECTION_047.coqc.log"
"240","V59_N240_RETRACTION_048","retraction","generated_coq/n240/V59_N240_RETRACTION_048.v","kernel_success","477.3","logs/V59_N240_RETRACTION_048.coqc.log"
"240","V59_N240_LOGICAL_049","logical","generated_coq/n240/V59_N240_LOGICAL_049.v","kernel_success","491.3","logs/V59_N240_LOGICAL_049.coqc.log"
"240","V59_N240_PRODUCT_050","product","generated_coq/n240/V59_N240_PRODUCT_050.v","kernel_success","582.4","logs/V59_N240_PRODUCT_050.coqc.log"
"240","V59_N240_EQ_051","eq","generated_coq/n240/V59_N240_EQ_051.v","kernel_success","555.8","logs/V59_N240_EQ_051.coqc.log"
"240","V59_N240_SECTION_052","section","generated_coq/n240/V59_N240_SECTION_052.v","kernel_success","532.2","logs/V59_N240_SECTION_052.coqc.log"
"240","V59_N240_RETRACTION_053","retraction","generated_coq/n240/V59_N240_RETRACTION_053.v","kernel_success","540.8","logs/V59_N240_RETRACTION_053.coqc.log"
"240","V59_N240_LOGICAL_054","logical","generated_coq/n240/V59_N240_LOGICAL_054.v","kernel_success","510.9","logs/V59_N240_LOGICAL_054.coqc.log"
"240","V59_N240_PRODUCT_055","product","generated_coq/n240/V59_N240_PRODUCT_055.v","kernel_success","473.6","logs/V59_N240_PRODUCT_055.coqc.log"
"240","V59_N240_EQ_056","eq","generated_coq/n240/V59_N240_EQ_056.v","kernel_success","438.2","logs/V59_N240_EQ_056.coqc.log"
